,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Pete Gogolak 15 yard field goal,3,0
1,2.0,Rams,Tony Baker 4 yard rush (David Ray kick),3,7
2,2.0,Rams,Lawrence McCutcheon 19 yard pass from John Hadl (David Ray kick),3,14
3,3.0,Rams,Lawrence McCutcheon 11 yard rush (David Ray kick),3,21
4,3.0,Rams,Isiah Robertson 49 yard interception return (David Ray kick),3,28
5,3.0,Giants,Pete Gogolak 27 yard field goal,6,28
6,3.0,Rams,"Safety, center snap out of end zone",6,30
7,4.0,Rams,David Ray 16 yard field goal,6,33
8,4.0,Rams,Les Josephson 13 yard rush (David Ray kick),6,40
