,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Tom Dempsey 33 yard field goal,0,3
1,1.0,Saints,Tony Galbreath 1 yard rush (Rich Szaro kick),7,3
2,1.0,Rams,Tom Dempsey 25 yard field goal,7,6
3,2.0,Rams,Lawrence McCutcheon 1 yard rush,7,12
4,2.0,Rams,Lawrence McCutcheon 2 yard pass from Pat Haden (Tom Dempsey kick),7,19
5,2.0,Rams,Bob Klein 4 yard pass from Pat Haden (Tom Dempsey kick),7,26
6,3.0,Saints,Chuck Muncie 2 yard rush (Rich Szaro kick),14,26
7,4.0,Rams,Pat Haden 7 yard rush (Tom Dempsey kick),14,33
