,Quarter,Tm,Detail,LOU,COL
0,1.0,Tigers,Wilmer Isabel 3 yard rush,0,6
1,1.0,Tigers,Bob Rapp unknown yard rush (Gus Tebell kick),0,13
2,2.0,Tigers,Sonny Winters 1 yard rush (Paul Goebel kick),0,20
3,2.0,Tigers,Wilmer Isabel unknown yard rush (Paul Goebel kick),0,27
4,4.0,Tigers,Sonny Winters 20 yard pass from Wilmer Isabel (Gus Tebell kick),0,34
