,Quarter,Tm,Detail,ATL,WAS
0,2.0,Redskins,Ricky Ervins 17 yard rush (Chip Lohmiller kick),0,7
1,2.0,Redskins,Gerald Riggs 2 yard rush (Chip Lohmiller kick),0,14
2,2.0,Falcons,Tracy Johnson 1 yard rush (Norm Johnson kick),7,14
3,3.0,Redskins,Chip Lohmiller 24 yard field goal,7,17
4,4.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),7,24
