,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Jackie Smith 67 yard pass from Jim Hart (Jim Bakken kick),7,0
1,1.0,Cowboys,Don Perkins 1 yard rush (Danny Villanueva kick),7,7
2,1.0,Cowboys,Bob Hayes 69 yard punt return (Danny Villanueva kick),7,14
3,1.0,Cardinals,Johnny Roland 38 yard pass from Jim Hart (Jim Bakken kick),14,14
4,2.0,Cowboys,Danny Villanueva 22 yard field goal,14,17
5,2.0,Cowboys,Bob Hayes 59 yard pass from Don Meredith,14,23
6,3.0,Cowboys,Lance Rentzel 74 yard pass from Dan Reeves (Danny Villanueva kick),14,30
7,3.0,Cowboys,Bob Hayes 34 yard pass from Don Meredith (Danny Villanueva kick),14,37
8,3.0,Cardinals,Dave Williams 36 yard pass from Charley Johnson (Jim Bakken kick),21,37
9,4.0,Cowboys,"Safety, Jordan tackled Roland in end zone",21,39
10,4.0,Cowboys,Lance Rentzel 10 yard pass from Don Meredith (Danny Villanueva kick),21,46
