,Quarter,Tm,Detail,TAM,CHI
0,1.0,Buccaneers,Mark Carrier 5 yard pass from Vinny Testaverde (Steve Christie kick),7,0
1,2.0,Bears,Mike Tomczak 1 yard rush (Kevin Butler kick),7,7
2,2.0,Bears,Wendell Davis 18 yard pass from Mike Tomczak (Kevin Butler kick),7,14
3,3.0,Bears,James Thornton 12 yard pass from Mike Tomczak (Kevin Butler kick),7,21
4,3.0,Bears,Kevin Butler 46 yard field goal,7,24
5,4.0,Bears,Kevin Butler 43 yard field goal,7,27
6,4.0,Buccaneers,Bruce Hill 4 yard pass from Vinny Testaverde (Steve Christie kick),14,27
