,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,James Jones 1 yard rush (Eddie Murray kick),7,0
1,1.0,Buccaneers,Donald Igwebuike 31 yard field goal,7,3
2,2.0,Lions,Leonard Thompson 4 yard pass from Joe Ferguson (Eddie Murray kick),14,3
3,3.0,Buccaneers,James Wilder 11 yard pass from Steve Young (Donald Igwebuike kick),14,10
4,3.0,Lions,Jeff Chadwick 18 yard pass from Joe Ferguson (Eddie Murray kick),21,10
5,3.0,Lions,Garry James 13 yard rush (Eddie Murray kick),28,10
6,4.0,Lions,Eddie Murray 20 yard field goal,31,10
7,4.0,Buccaneers,Pat Franklin 2 yard pass from Steve Young (Donald Igwebuike kick),31,17
8,4.0,Lions,Leonard Thompson 34 yard pass from Chuck Long (Eddie Murray kick),38,17
