,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,12:24,Packers,Mason Crosby 30 yard field goal,0,3
1,1.0,9:48,Bears,Brandon Marshall 23 yard pass from Josh McCown (Robbie Gould kick),7,3
2,1.0,3:38,Packers,James Starks 32 yard rush (Mason Crosby kick),7,10
3,2.0,9:26,Bears,Matt Forte 1 yard rush (Robbie Gould kick),14,10
4,2.0,0:00,Bears,Robbie Gould 24 yard field goal,17,10
5,3.0,13:04,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),17,17
6,3.0,8:45,Packers,Mason Crosby 23 yard field goal,17,20
7,3.0,2:41,Bears,Alshon Jeffery 6 yard pass from Josh McCown (Robbie Gould kick),24,20
8,4.0,0:50,Bears,Robbie Gould 27 yard field goal,27,20
