,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Jim Brown 9 yard rush (Lou Groza kick),0,7
1,3.0,Giants,Alex Webster 1 yard rush (Don Chandler kick),7,7
2,3.0,Browns,Rich Kreitling 27 yard pass from Jim Ninowski (Lou Groza kick),7,14
3,4.0,Browns,Lou Groza 29 yard field goal,7,17
