,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Jeff Queen 9 yard pass from John Hadl (Dennis Partee kick),0,7
1,2.0,Broncos,Jim Turner 13 yard field goal,3,7
2,2.0,Chargers,Chuck Dicus 13 yard pass from John Hadl (Dennis Partee kick),3,14
3,3.0,Chargers,Gary Garrison 77 yard pass from John Hadl (Dennis Partee kick),3,21
4,3.0,Chargers,Jeff Queen 2 yard pass from John Hadl (Dennis Partee kick),3,28
5,3.0,Broncos,Floyd Little 12 yard rush (Jim Turner kick),10,28
6,4.0,Chargers,Dennis Partee 9 yard field goal,10,31
7,4.0,Broncos,Fran Lynch 40 yard pass from Steve Ramsey (Jim Turner kick),17,31
8,4.0,Chargers,Mike Garrett 1 yard rush (Dennis Partee kick),17,38
9,4.0,Chargers,Walker Gillette 25 yard pass from Marty Domres (Dennis Partee kick),17,45
