,Quarter,Tm,Detail,NYG,CLE
0,2.0,Browns,Lou Groza 30 yard field goal,0,3
1,2.0,Giants,Bob Wilkinson 70 yard pass from Charlie Conerly (Ray Poole kick),7,3
2,3.0,Browns,Lou Groza 52 yard field goal,7,6
3,3.0,Browns,Lou Groza 21 yard field goal,7,9
4,4.0,Giants,Ray Poole 25 yard field goal,10,9
5,4.0,Giants,Tom Landry 30 yard interception return (Ray Poole kick),17,9
