,Quarter,Tm,Detail,KAN,BAL
0,2.0,Colts,Jackie Wallace 42 yard interception return (Toni Linhart kick),0,7
1,2.0,Colts,Bill Olds 1 yard rush (Toni Linhart kick),0,14
2,3.0,Colts,Lydell Mitchell 70 yard rush (Toni Linhart kick),0,21
3,3.0,Colts,Raymond Chester 17 yard pass from Bert Jones (Toni Linhart kick),0,28
4,4.0,Chiefs,Doug Dressler 3 yard pass from Len Dawson (Jan Stenerud kick),7,28
5,4.0,Chiefs,Larry Brunson 25 yard pass from Len Dawson (Jan Stenerud kick),14,28
