,Quarter,Tm,Detail,RAM,CRD
0,1.0,Rams,Steve Pritko 10 yard pass from Bob Waterfield (Bob Waterfield kick),7,0
1,1.0,Rams,Fred Gehrke 21 yard rush (Bob Waterfield kick),14,0
2,2.0,Cardinals,Chet Bulger 9 yard fumble return (Joe Kuharich kick),14,7
3,2.0,Rams,Jim Benton 21 yard pass from Bob Waterfield (Bob Waterfield kick),21,7
4,2.0,Cardinals,Jim Poole 21 yard pass from Paul Christman (Joe Kuharich kick),21,14
5,3.0,Rams,Jim Benton 36 yard pass from Bob Waterfield (Bob Waterfield kick),28,14
6,4.0,Cardinals,Ed Rucinski 5 yard pass from Paul Christman (Joe Kuharich kick),28,21
7,4.0,Rams,Don Greenwood 2 yard rush (Bob Waterfield kick),35,21
