,Quarter,Time,Tm,Detail,STL,KAN
0,1.0,12:01,Rams,Jeff Wilkins 36 yard field goal,3,0
1,1.0,11:49,Chiefs,Dante Hall 88 yard kickoff return (Morten Andersen kick),3,7
2,1.0,10:16,Chiefs,Duane Clemons 42 yard defensive fumble return (Morten Andersen kick),3,14
3,1.0,1:43,Rams,Isaac Bruce 8 yard pass from Jamie Martin (Jeff Wilkins kick),10,14
4,2.0,8:52,Chiefs,Priest Holmes 2 yard rush (Morten Andersen kick),10,21
5,2.0,6:58,Chiefs,Dante Hall 86 yard punt return (Morten Andersen kick),10,28
6,2.0,1:57,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),10,35
7,4.0,9:56,Chiefs,Marc Boerigter 6 yard pass from Trent Green (Morten Andersen kick),10,42
8,4.0,5:24,Chiefs,Mike Cloud 1 yard rush (Morten Andersen kick),10,49
