,Quarter,Tm,Detail,PIT,GNB
0,2.0,Packers,Ted Fritsch 38 yard field goal,0,3
1,2.0,Steelers,Bill Dudley 31 yard rush (Bill Dudley kick),7,3
2,4.0,Packers,Nolan Luhn 19 yard pass from Irv Comp (Ted Fritsch kick),7,10
3,4.0,Packers,Walt Schlinkman 2 yard rush (Ted Fritsch kick),7,17
