,Quarter,Tm,Detail,DET,NOR
0,2.0,Lions,Charlie Sanders 5 yard pass from Greg Landry,6,0
1,2.0,Saints,Rich Szaro 37 yard field goal,6,3
2,3.0,Saints,Larry Burton 69 yard pass from Bobby Douglass (Rich Szaro kick),6,10
3,4.0,Lions,Benny Ricardo 43 yard field goal,9,10
4,4.0,Saints,Warren Capone 2 yard special teams fumble return (Rich Szaro kick),9,17
5,4.0,Lions,Larry Walton 16 yard pass from Greg Landry (Benny Ricardo kick),16,17
