,Quarter,Tm,Detail,CHI,ATL
0,1.0,Falcons,Junior Coffey 6 yard pass from Randy Johnson (Wade Traynham kick),0,7
1,1.0,Bears,Gale Sayers 32 yard pass from Jack Concannon (Mac Percival kick),7,7
2,2.0,Bears,Gale Sayers 51 yard rush (Mac Percival kick),14,7
3,2.0,Bears,Mac Percival 48 yard field goal,17,7
4,3.0,Bears,Mac Percival 47 yard field goal,20,7
5,4.0,Bears,Mac Percival 19 yard field goal,23,7
6,4.0,Falcons,Junior Coffey 3 yard rush (Wade Traynham kick),23,14
