,Quarter,Tm,Detail,CHI,DET
0,1.0,Panthers,Al Hadden unknown yard pass from Dick Vick (Gus Sonnenberg kick),0,7
1,3.0,Panthers,Al Hadden unknown yard rush (Gus Sonnenberg kick),0,14
2,3.0,Panthers,Dinger Doane unknown yard rush (Gus Sonnenberg kick),0,21
