,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Herdis McCrary 4 yard pass from Verne Lewellen (Bo Molenda kick),7,0
1,3.0,Giants,Tony Plansky 15 yard pass from Benny Friedman,7,6
2,4.0,Packers,Bo Molenda 1 yard rush (Bo Molenda kick),14,6
3,4.0,Packers,Johnny Blood 3 yard rush,20,6
