,Quarter,Tm,Detail,WAS,GNB
0,1.0,Redskins,Andy Farkas 1 yard rush,6,0
1,1.0,Redskins,Wilbur Moore 14 yard pass from Sammy Baugh (Joe Aguirre kick),13,0
2,2.0,Redskins,Wilbur Moore 8 yard pass from Sammy Baugh (Joe Aguirre kick),20,0
3,3.0,Redskins,Andy Farkas 7 yard pass from Sammy Baugh,26,0
4,4.0,Redskins,Joe Aguirre 8 yard pass from Sammy Baugh (Joe Aguirre kick),33,0
5,4.0,Packers,Don Hutson 16 yard pass from Tony Canadeo (Don Hutson kick),33,7
