,Quarter,Tm,Detail,SDG,RAI
0,1.0,Chargers,Kellen Winslow 9 yard pass from Dan Fouts,6,0
1,2.0,Chargers,Trumaine Johnson 9 yard pass from Dan Fouts (Rolf Benirschke kick),13,0
2,2.0,Raiders,Dokie Williams 12 yard pass from Marc Wilson (Chris Bahr kick),13,7
3,3.0,Raiders,Jessie Hester 40 yard pass from Marc Wilson (Chris Bahr kick),13,14
4,4.0,Raiders,Chris Bahr 18 yard field goal,13,17
