,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Jim Bakken 27 yard field goal,3,0
1,1.0,Giants,Joe Morrison 1 yard rush (Pete Gogolak kick),3,7
2,2.0,Giants,Joe Morrison 5 yard pass from Fran Tarkenton (Pete Gogolak kick),3,14
3,2.0,Cardinals,Jim Bakken 24 yard field goal,6,14
4,2.0,Giants,Don Herrmann 3 yard pass from Fran Tarkenton (Pete Gogolak kick),6,21
5,3.0,Giants,Joe Morrison 24 yard pass from Fran Tarkenton (Pete Gogolak kick),6,28
6,3.0,Giants,Ernie Koy 2 yard pass from Fran Tarkenton (Pete Gogolak kick),6,35
7,3.0,Giants,Ernie Koy 3 yard rush (Pete Gogolak kick),6,42
8,4.0,Giants,Rich Kotite 2 yard pass from Gary Wood (Pete Gogolak kick),6,49
