,Quarter,Tm,Detail,DET,HOU
0,1.0,Lions,Errol Mann 34 yard field goal,3,0
1,1.0,Lions,Errol Mann 37 yard field goal,6,0
2,1.0,Oilers,Skip Butler 42 yard field goal,6,3
3,2.0,Oilers,Billy Johnson 27 yard pass from Dan Pastorini (Skip Butler kick),6,10
4,3.0,Oilers,Ken Burrough 56 yard pass from Dan Pastorini (Skip Butler kick),6,17
5,3.0,Oilers,Billy Johnson 52 yard punt return (Skip Butler kick),6,24
6,4.0,Lions,"Safety, Pastorini ran out of end zone",8,24
