,Quarter,Time,Tm,Detail,NWE,SEA
0,1.0,5:25,Seahawks,Deion Branch 14 yard pass from Seneca Wallace (Olindo Mare kick),0,7
1,1.0,0:48,Patriots,Stephen Gostkowski 50 yard field goal,3,7
2,2.0,12:30,Seahawks,John Carlson 10 yard pass from Seneca Wallace (Olindo Mare kick),3,14
3,2.0,9:09,Patriots,Ben Watson 2 yard pass from Matt Cassel (Stephen Gostkowski kick),10,14
4,3.0,2:40,Patriots,Stephen Gostkowski 42 yard field goal,13,14
5,3.0,0:41,Seahawks,Deion Branch 4 yard pass from Seneca Wallace (Olindo Mare kick),13,21
6,4.0,12:19,Patriots,Stephen Gostkowski 27 yard field goal,16,21
7,4.0,2:44,Patriots,Sammy Morris 1 yard rush (Wes Welker pass from Matt Cassel),24,21
