,Quarter,Tm,Detail,BUF,GNB
0,1.0,Packers,Jan Stenerud 33 yard field goal,0,3
1,1.0,Packers,Jan Stenerud 25 yard field goal,0,6
2,2.0,Bills,Joe Cribbs 1 yard rush (Efren Herrera kick),7,6
3,2.0,Packers,Del Rodgers offensive fumble recovery in end zone (Jan Stenerud kick),7,13
4,3.0,Packers,Eddie Lee Ivery 1 yard rush (Jan Stenerud kick),7,20
5,4.0,Packers,John Thompson 23 yard pass from Lynn Dickey (Jan Stenerud kick),7,27
6,4.0,Packers,Jan Stenerud 31 yard field goal,7,30
7,4.0,Bills,Mark Brammer 8 yard pass from Joe Ferguson (Efren Herrera kick),14,30
8,4.0,Packers,Jan Stenerud 42 yard field goal,14,33
9,4.0,Bills,Mark Brammer 6 yard pass from Matt Robinson (Efren Herrera kick),21,33
