,Quarter,Tm,Detail,CHI,PRV
0,1,Steam Roller,"Safety, blocked punt out of end zone",0,2
1,2,Steam Roller,Franny Garvey 35 yard fumble return (Red Maloney kick),0,9
2,4,Bears,Johnny Bryan unknown yard pass from Joey Sternaman,6,9
