,Quarter,Tm,Detail,SDG,DEN
0,2.0,Chargers,Rolf Benirschke 29 yard field goal,3,0
1,3.0,Chargers,Rolf Benirschke 30 yard field goal,6,0
2,4.0,Broncos,Rick Upchurch 30 yard pass from Steve DeBerg (Rich Karlis kick),6,7
3,4.0,Broncos,Dave Preston 2 yard rush (Rich Karlis kick),6,14
