,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Al Nelson 19 yard interception return (Tom Dempsey kick),7,0
1,1.0,Giants,Rocky Thompson 1 yard rush (Pete Gogolak kick),7,7
2,2.0,Eagles,Steve Zabel 3 yard pass from Pete Liske (Tom Dempsey kick),14,7
3,2.0,Eagles,Ben Hawkins 22 yard pass from Pete Liske (Tom Dempsey kick),21,7
4,2.0,Giants,Joe Morrison 45 yard pass from Randy Johnson (Pete Gogolak kick),21,14
5,2.0,Eagles,Tom Dempsey 37 yard field goal,24,14
6,3.0,Eagles,Lee Bouggess 2 yard rush (Tom Dempsey kick),31,14
7,3.0,Eagles,Harold Jackson 63 yard pass from Pete Liske (Tom Dempsey kick),38,14
8,3.0,Eagles,Tom Dempsey 50 yard field goal,41,14
9,4.0,Giants,Rich Kotite 2 yard pass from Randy Johnson (Pete Gogolak kick),41,21
10,4.0,Giants,Bob Tucker 27 yard pass from Randy Johnson (Pete Gogolak kick),41,28
