,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Wayne Walker 45 yard field goal,0,3
1,4.0,Lions,Wayne Walker 35 yard field goal,0,6
2,4.0,Lions,Terry Barr 34 yard pass from Milt Plum (Wayne Walker kick),0,13
3,4.0,Lions,Joe Don Looney 47 yard pass from Milt Plum (Wayne Walker kick),0,20
