,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Eddie Murray 46 yard field goal,0,3
1,2.0,Lions,Eddie Murray 44 yard field goal,0,6
2,3.0,Giants,Joe Danelo 34 yard field goal,3,6
3,3.0,Giants,Joe Danelo 40 yard field goal,6,6
4,4.0,Giants,Lawrence Taylor 97 yard interception return (Joe Danelo kick),13,6
