,Quarter,Tm,Detail,HOU,ATL
0,1.0,Falcons,Dave Hampton 3 yard rush (Bill Bell kick),0,7
1,1.0,Falcons,Bill Bell 27 yard field goal,0,10
2,2.0,Falcons,Bill Bell 16 yard field goal,0,13
3,3.0,Oilers,Skip Butler 37 yard field goal,3,13
4,3.0,Falcons,Dave Hampton 4 yard rush (Bill Bell kick),3,20
5,3.0,Oilers,Dan Pastorini 9 yard rush (Skip Butler kick),10,20
