,Quarter,Time,Tm,Detail,CIN,BUF
0,1,12:14,Bengals,Mike Nugent 46 yard field goal,3,0
1,1,10:01,Bills,Thaddeus Lewis 3 yard rush (Dan Carpenter kick),3,7
2,1,5:26,Bengals,A.J. Green 18 yard pass from Andy Dalton (Mike Nugent kick),10,7
3,2,8:34,Bengals,Giovani Bernard 20 yard pass from Andy Dalton (Mike Nugent kick),17,7
4,2,4:14,Bills,Dan Carpenter 51 yard field goal,17,10
5,3,10:49,Bengals,Marvin Jones 10 yard pass from Andy Dalton (Mike Nugent kick),24,10
6,4,10:13,Bills,Scott Chandler 22 yard pass from Thaddeus Lewis (Dan Carpenter kick),24,17
7,4,1:08,Bills,Marquise Goodwin 40 yard pass from Thaddeus Lewis (Dan Carpenter kick),24,24
8,OT,6:44,Bengals,Mike Nugent 43 yard field goal,27,24
