,Quarter,Time,Tm,Detail,SEA,ATL
0,1.0,11:18,Seahawks,Darrell Jackson 6 yard pass from Jon Kitna (Rian Lindell kick),7,0
1,1.0,10:57,Seahawks,George Koonce 27 yard interception return (Rian Lindell kick),14,0
2,1.0,2:46,Seahawks,Rian Lindell 46 yard field goal,17,0
3,2.0,3:13,Falcons,Morten Andersen 36 yard field goal,17,3
4,2.0,1:38,Seahawks,Ricky Watters 1 yard rush (Rian Lindell kick),24,3
5,3.0,11:42,Seahawks,Rian Lindell 45 yard field goal,27,3
6,3.0,4:19,Seahawks,Rian Lindell 29 yard field goal,30,3
7,4.0,13:48,Falcons,Reggie Kelly 19 yard pass from Doug Johnson (Morten Andersen kick),30,10
