,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Willie Galimore 51 yard rush (Bob Jencks kick),0,7
1,1.0,Bears,Joe Marconi 19 yard rush (Bob Jencks kick),0,14
2,2.0,49ers,J.D. Smith 3 yard rush (Tommy Davis kick),7,14
3,3.0,Bears,Billy Wade 3 yard rush (Bob Jencks kick),7,21
4,4.0,Bears,Rosey Taylor 30 yard interception return,7,27
