,Quarter,Time,Tm,Detail,ATL,SDG
0,1.0,5:56,Falcons,Jason Elam 35 yard field goal,3,0
1,1.0,1:41,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),3,7
2,1.0,0:00,Falcons,Jason Elam 40 yard field goal,6,7
3,2.0,9:24,Falcons,Justin Peelle 18 yard pass from Matt Ryan (Jason Elam kick),13,7
4,2.0,7:54,Falcons,"Safety, Intentional grounding penalty on Philip Rivers enforced in end zone.",15,7
5,3.0,12:08,Chargers,Eric Weddle 86 yard defensive fumble return (run failed),15,13
6,4.0,14:56,Falcons,Harry Douglas 5 yard pass from Matt Ryan (Jason Elam kick),22,13
7,4.0,5:15,Chargers,Nate Kaeding 28 yard field goal,22,16
