,Quarter,Tm,Detail,SDG,CHI
0,1,Bears,Matt Suhey 7 yard rush (John Roveto kick),0,7
1,2,Chargers,Rolf Benirschke 18 yard field goal,3,7
2,2,Bears,John Roveto 31 yard field goal,3,10
3,4,Chargers,Charlie Joiner 22 yard pass from Dan Fouts (Rolf Benirschke kick),10,10
4,4,Bears,Walter Payton 2 yard rush (John Roveto kick),10,17
5,4,Chargers,Wes Chandler 39 yard pass from Dan Fouts (Rolf Benirschke kick),17,17
6,OT,Bears,John Roveto 26 yard field goal,17,20
