,Quarter,Tm,Detail,CLE,DAL
0,1.0,Browns,Gary Collins 17 yard pass from Frank Ryan (Lou Groza kick),7,0
1,1.0,Cowboys,Don Perkins 19 yard rush (Sam Baker kick),7,7
2,1.0,Browns,Frank Ryan 7 yard rush (Lou Groza kick),14,7
3,2.0,Browns,Lou Groza 32 yard field goal,17,7
4,2.0,Browns,Jim Brown 71 yard rush (Lou Groza kick),24,7
5,2.0,Cowboys,Frank Clarke 23 yard pass from Eddie LeBaron (Sam Baker kick),24,14
6,2.0,Cowboys,Sam Baker 13 yard field goal,24,17
7,3.0,Browns,Lou Groza 15 yard field goal,27,17
8,3.0,Cowboys,Don Perkins 1 yard rush (Sam Baker kick),27,24
9,4.0,Browns,Gary Collins 4 yard pass from Frank Ryan (Lou Groza kick),34,24
10,4.0,Browns,Jim Brown 62 yard rush (Lou Groza kick),41,24
