,Quarter,Time,Tm,Detail,ARI,CHI
0,1.0,2:42,Bears,Paul Edinger 46 yard field goal,0,3
1,2.0,13:23,Cardinals,Bill Gramatica 40 yard field goal,3,3
2,2.0,7:49,Bears,James Allen 1 yard rush (Paul Edinger kick),3,10
3,2.0,3:18,Cardinals,Bill Gramatica 47 yard field goal,6,10
4,2.0,0:00,Bears,Paul Edinger 43 yard field goal,6,13
5,3.0,7:33,Bears,R.W. McQuarters 69 yard defensive fumble return (Paul Edinger kick),6,20
6,4.0,2:52,Cardinals,Frank Sanders 7 yard pass from Jake Plummer (Bill Gramatica kick),13,20
