,Quarter,Tm,Detail,PIT,HOU
0,1.0,Oilers,Allen Pinkett 7 yard rush (Al Del Greco kick),0,7
1,2.0,Oilers,Al Del Greco 24 yard field goal,0,10
2,2.0,Steelers,Gary Anderson 54 yard field goal,3,10
3,3.0,Oilers,Haywood Jeffires 16 yard pass from Warren Moon (Al Del Greco kick),3,17
4,3.0,Steelers,Gary Anderson 36 yard field goal,6,17
5,4.0,Oilers,Allen Pinkett 11 yard rush (Al Del Greco kick),6,24
6,4.0,Oilers,Al Smith 70 yard defensive fumble return (Al Del Greco kick),6,31
