,Quarter,Tm,Detail,TAM,MIN
0,1.0,Vikings,Steve Jordan 36 yard pass from Wade Wilson (Chuck Nelson kick),0,7
1,2.0,Buccaneers,Donald Igwebuike 39 yard field goal,3,7
2,2.0,Vikings,Allen Rice 4 yard pass from Wade Wilson (Chuck Nelson kick),3,14
3,2.0,Buccaneers,Donald Igwebuike 55 yard field goal,6,14
4,3.0,Vikings,Alfred Anderson 23 yard pass from Wade Wilson (Chuck Nelson kick),6,21
5,4.0,Vikings,Darrin Nelson 5 yard rush (Chuck Nelson kick),6,28
6,4.0,Vikings,Alfred Anderson 1 yard rush (Chuck Nelson kick),6,35
7,4.0,Vikings,Chuck Nelson 53 yard field goal,6,38
8,4.0,Vikings,Ted Brown 1 yard rush (Chuck Nelson kick),6,45
9,4.0,Buccaneers,Ron Heller 1 yard pass from Steve DeBerg (Donald Igwebuike kick),13,45
