,Quarter,Tm,Detail,PIT,STL
0,1.0,Cardinals,John David Crow 22 yard rush (Gerry Perry kick),0,7
1,1.0,Steelers,Lou Michaels 27 yard field goal,3,7
2,2.0,Cardinals,Gerry Perry 22 yard field goal,3,10
3,2.0,Steelers,Preston Carpenter 9 yard pass from Bobby Layne,9,10
4,3.0,Cardinals,Prentice Gautt 1 yard rush (Gerry Perry kick),9,17
5,4.0,Steelers,Dick Hoak 5 yard rush (Lou Michaels kick),16,17
6,4.0,Steelers,John Henry Johnson 5 yard rush (Lou Michaels kick),23,17
7,4.0,Steelers,Lou Michaels 8 yard field goal,26,17
