,Quarter,Tm,Detail,HOU,CLE
0,1.0,Oilers,Ronnie Coleman 3 yard rush (Tom Dempsey kick),7,0
1,2.0,Browns,Don Cockroft 26 yard field goal,7,3
2,2.0,Oilers,Ronnie Coleman 2 yard rush,13,3
3,2.0,Browns,Don Cockroft 40 yard field goal,13,6
4,3.0,Oilers,Billy Johnson 72 yard punt return,19,6
5,3.0,Browns,"Safety, Carpenter tackled in end zone",19,8
6,4.0,Browns,Gary Parris 3 yard pass from Terry Luck (Don Cockroft kick),19,15
