,Quarter,Time,Tm,Detail,SEA,ATL
0,1.0,11:17,Falcons,Younghoe Koo 49 yard field goal,0,3
1,1.0,4:48,Seahawks,Chris Carson 3 yard pass from Russell Wilson (Jason Myers kick),7,3
2,1.0,1:01,Seahawks,Chris Carson 19 yard pass from Russell Wilson (Jason Myers kick),14,3
3,2.0,11:30,Falcons,Todd Gurley 1 yard rush (Younghoe Koo kick failed),14,9
4,2.0,0:02,Falcons,Younghoe Koo 49 yard field goal,14,12
5,3.0,9:49,Seahawks,D.K. Metcalf 38 yard pass from Russell Wilson (Jason Myers kick),21,12
6,3.0,5:09,Seahawks,Greg Olsen 7 yard pass from Russell Wilson (Jason Myers kick),28,12
7,4.0,11:24,Seahawks,Jason Myers 42 yard field goal,31,12
8,4.0,9:42,Falcons,Calvin Ridley 18 yard pass from Matt Ryan (pass failed),31,18
9,4.0,3:48,Seahawks,Carlos Hyde 1 yard rush (Jason Myers kick),38,18
10,4.0,0:39,Falcons,Calvin Ridley 7 yard pass from Matt Ryan (Younghoe Koo kick),38,25
