,Quarter,Time,Tm,Detail,HOU,JAX
0,1.0,10:24,Texans,Kris Brown 20 yard field goal,3,0
1,2.0,9:38,Texans,Kris Brown 35 yard field goal,6,0
2,2.0,3:51,Jaguars,George Wrighster 1 yard pass from David Garrard (John Carney kick),6,7
3,2.0,0:59,Jaguars,John Carney 37 yard field goal,6,10
4,3.0,8:17,Jaguars,Reggie Williams 9 yard pass from David Garrard (John Carney kick failed),6,16
5,3.0,1:40,Texans,Kris Brown 33 yard field goal,9,16
6,4.0,13:11,Jaguars,Maurice Jones-Drew 7 yard rush (John Carney kick),9,23
7,4.0,8:55,Jaguars,Daryl Smith 77 yard defensive fumble return (John Carney kick),9,30
8,4.0,5:48,Jaguars,Maurice Jones-Drew 57 yard rush (John Carney kick),9,37
9,4.0,0:29,Texans,Vonta Leach 1 yard pass from Sage Rosenfels (Samkon Gado run),17,37
