,Quarter,Tm,Detail,PHO,NYG
0,1.0,Cardinals,Greg Davis 47 yard field goal,3,0
1,1.0,Cardinals,Butch Rolle 1 yard pass from Steve Beuerlein (Greg Davis kick),10,0
2,1.0,Giants,David Treadwell 22 yard field goal,10,3
3,2.0,Giants,David Treadwell 37 yard field goal,10,6
4,3.0,Giants,Ed McCaffrey 20 yard pass from Phil Simms (David Treadwell kick),10,13
5,3.0,Cardinals,Ricky Proehl 17 yard pass from Steve Beuerlein (Greg Davis kick),17,13
6,4.0,Giants,David Treadwell 22 yard field goal,17,16
7,4.0,Giants,Brad Daluiso 54 yard field goal,17,19
