,Quarter,Time,Tm,Detail,DET,MIN
0,1,7:14,Lions,Matt Prater 47 yard field goal,3,0
1,2,13:20,Vikings,Blair Walsh 33 yard field goal,3,3
2,2,0:05,Lions,Anquan Boldin 1 yard pass from Matthew Stafford (Matt Prater kick),10,3
3,3,4:02,Vikings,Kyle Rudolph 1 yard pass from Sam Bradford (Blair Walsh kick failed),10,9
4,4,12:33,Lions,Matt Prater 53 yard field goal,13,9
5,4,0:23,Vikings,Rhett Ellison 1 yard rush (Blair Walsh kick),13,16
6,4,0:00,Lions,Matt Prater 58 yard field goal,16,16
7,OT,8:21,Lions,Golden Tate 28 yard pass from Matthew Stafford,22,16
