,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,"Safety, Lunas punt blocked out of end zone by Griffin",2,0
1,1.0,Rams,Tom McCormick 1 yard rush (Les Richter kick),9,0
2,2.0,Rams,Corky Taylor 17 yard pass from Norm Van Brocklin (Les Richter kick),16,0
3,3.0,49ers,John Henry Johnson 3 yard rush (Gordie Soltau kick),16,7
4,4.0,Rams,Dan Towler 3 yard rush (Les Richter kick),23,7
5,4.0,49ers,Hugh McElhenny 42 yard pass from Y.A. Tittle (Gordie Soltau kick),23,14
