,Quarter,Tm,Detail,PIT,BAL
0,1.0,Steelers,Frank Lewis 76 yard pass from Terry Bradshaw,6,0
1,1.0,Steelers,Roy Gerela 45 yard field goal,9,0
2,1.0,Colts,Roger Carr 17 yard pass from Bert Jones (Toni Linhart kick),9,7
3,2.0,Steelers,Reggie Harrison 1 yard rush (Roy Gerela kick),16,7
4,2.0,Steelers,Lynn Swann 29 yard pass from Terry Bradshaw (Roy Gerela kick),23,7
5,2.0,Steelers,Roy Gerela 25 yard field goal,26,7
6,4.0,Steelers,Lynn Swann 11 yard pass from Terry Bradshaw (Roy Gerela kick),33,7
7,4.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),33,14
8,4.0,Steelers,Reggie Harrison 10 yard rush (Ray Mansfield kick),40,14
