,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Mark Clayton 15 yard pass from Dan Marino (Pete Stoyanovich kick),7,0
1,1.0,Dolphins,Jim Jensen 16 yard pass from Dan Marino (Pete Stoyanovich kick),14,0
2,1.0,Dolphins,Pete Stoyanovich 31 yard field goal,17,0
3,2.0,Dolphins,Jim Jensen 10 yard pass from Dan Marino (Pete Stoyanovich kick),24,0
4,3.0,Patriots,Greg Davis 28 yard field goal,24,3
5,4.0,Patriots,Hart Lee Dykes 6 yard pass from Tony Eason (Greg Davis kick),24,10
