,Quarter,Tm,Detail,DAL,STL
0,2.0,Cowboys,Doug Cosbie 29 yard pass from Danny White (Rafael Septien kick),7,0
1,2.0,Cardinals,Pat Tilley 4 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,3.0,Cowboys,Billy Joe DuPree 6 yard rush (Rafael Septien kick),14,7
3,4.0,Cowboys,Drew Pearson 24 yard pass from Danny White (Rafael Septien kick),21,7
4,4.0,Cowboys,Rafael Septien 25 yard field goal,24,7
