,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,4:02,Panthers,Chris Manhertz 50 yard pass from Christian McCaffrey (Chandler Catanzaro kick),0,7
1,1.0,2:16,Saints,Wil Lutz 46 yard field goal,3,7
2,2.0,9:56,Saints,Wil Lutz 24 yard field goal,6,7
3,4.0,12:12,Saints,Alvin Kamara 16 yard rush (pass failed),12,7
4,4.0,12:12,Panthers,Donte Jackson defensive extra point return,12,9
