,Quarter,Tm,Detail,CRD,MIN
0,3.0,Red Jackets,Fritz Loven blocked punt recovery in end zone (Mally Nydall kick),0,7
1,3.0,Cardinals,Don Hill 75 yard pass from Ernie Nevers (Ernie Nevers kick),7,7
2,4.0,Red Jackets,Mally Nydall 1 yard rush (Mally Nydall kick),7,14
