,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,David Ray 37 yard field goal,0,3
1,1.0,Rams,Harold Jackson 20 yard pass from James Harris (David Ray kick),0,10
2,2.0,Redskins,Roy Jefferson 27 yard pass from Billy Kilmer,6,10
3,2.0,Redskins,Larry Brown 2 yard pass from Billy Kilmer (Mike Bragg kick),13,10
4,2.0,Redskins,Jerry Smith 3 yard pass from Billy Kilmer (Mike Bragg kick),20,10
5,3.0,Rams,Lawrence McCutcheon 9 yard rush (David Ray kick),20,17
6,3.0,Redskins,Mike Bragg 25 yard field goal,23,17
