,Quarter,Tm,Detail,DET,ATL
0,1.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),0,7
1,1.0,Falcons,Charlie Brown 12 yard pass from Steve Bartkowski (Rick Bryan pass from David Archer),0,14
2,2.0,Lions,James Jones 8 yard pass from Eric Hipple (Eddie Murray kick),7,14
3,2.0,Lions,Jeff Chadwick 15 yard pass from Eric Hipple (Eddie Murray kick),14,14
4,2.0,Falcons,Billy Johnson 35 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,21
5,3.0,Lions,Jeff Chadwick 9 yard pass from Eric Hipple (Eddie Murray kick),21,21
6,3.0,Lions,James Jones 21 yard rush (Eddie Murray kick),28,21
7,4.0,Falcons,Mick Luckhurst 46 yard field goal,28,24
8,4.0,Falcons,Mick Luckhurst 31 yard field goal,28,27
