,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Tom Birney 27 yard field goal,3,0
1,1.0,Lions,Jeff Komlo 9 yard rush (Benny Ricardo kick),3,7
2,1.0,Packers,Tom Birney 25 yard field goal,6,7
3,2.0,Packers,Tom Birney 47 yard field goal,9,7
4,3.0,Packers,Eric Torkelson 1 yard rush (pass failed),15,7
5,3.0,Packers,Tom Birney 41 yard field goal,18,7
6,4.0,Lions,Dexter Bussey 4 yard rush,18,13
