,Quarter,Time,Tm,Detail,ATL,DET
0,1.0,10:30,Lions,James Stewart 1 yard rush (Jason Hanson kick),0,7
1,2.0,6:36,Falcons,Jamal Anderson 14 yard rush (Morten Andersen kick),7,7
2,3.0,10:24,Falcons,Morten Andersen 42 yard field goal,10,7
3,4.0,5:14,Lions,Jason Hanson 18 yard field goal,10,10
4,4.0,1:43,Lions,Jason Hanson 44 yard field goal,10,13
