,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Calvin Hill 14 yard pass from Billy Kilmer (Mark Moseley kick),7,0
1,1.0,Redskins,Mark Moseley 40 yard field goal,10,0
2,2.0,Cardinals,Jim Bakken 32 yard field goal,10,3
3,2.0,Cardinals,Steve Jones 1 yard rush (Jim Bakken kick),10,10
4,2.0,Redskins,Mark Moseley 23 yard field goal,13,10
5,3.0,Cardinals,Jim Bakken 27 yard field goal,13,13
6,3.0,Redskins,Mark Moseley 37 yard field goal,16,13
7,4.0,Redskins,Mark Moseley 42 yard field goal,19,13
8,4.0,Redskins,Mike Thomas 4 yard rush (Mark Moseley kick),26,13
9,4.0,Cardinals,Terry Metcalf 68 yard pass from Jim Hart (Jim Bakken kick),26,20
