,Quarter,Tm,Detail,PIT,GNB
0,1.0,Steelers,Gary Anderson 35 yard field goal,3,0
1,2.0,Packers,Chris Jacke 47 yard field goal,3,3
2,2.0,Packers,Sterling Sharpe 76 yard pass from Brett Favre (Chris Jacke kick),3,10
3,4.0,Packers,Robert Brooks 8 yard pass from Brett Favre (Chris Jacke kick),3,17
