,Quarter,Time,Tm,Detail,DEN,SDG
0,2.0,,Broncos,Jason Elam 23 yard field goal,3,0
1,2.0,,Chargers,Natrone Means 3 yard rush (John Carney kick),3,7
2,3.0,,Broncos,Jason Elam 52 yard field goal,6,7
3,4.0,,Chargers,Natrone Means 2 yard rush (John Carney kick),6,14
4,4.0,,Chargers,John Carney 45 yard field goal,6,17
