,Quarter,Tm,Detail,DEN,CIN
0,3.0,Broncos,Otis Armstrong 4 yard rush (Jim Turner kick),7,0
1,3.0,Bengals,Chris Bahr 21 yard field goal,7,3
2,4.0,Bengals,Chip Myers 27 yard pass from Ken Anderson (Chris Bahr kick),7,10
3,4.0,Bengals,Bruce Coslet 6 yard pass from Ken Anderson (Chris Bahr kick),7,17
