,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Wilbur Moore 42 yard rush (Bob Masterson kick),0,7
1,2.0,Redskins,Ki Aldrich 17 yard field goal,0,10
2,2.0,Steelers,Armand Niccolai 19 yard field goal,3,10
3,2.0,Redskins,Andy Farkas 1 yard rush (Joe Aguirre kick),3,17
4,4.0,Redskins,Victor Carroll 25 yard interception return,3,23
