,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,,Steelers,Norm Johnson 34 yard field goal,0,3
1,2.0,,Steelers,Norm Johnson 25 yard field goal,0,6
2,3.0,,Steelers,Yancey Thigpen 20 yard pass from Kordell Stewart (Norm Johnson kick),0,13
3,3.0,,Bengals,Doug Pelfrey 25 yard field goal,3,13
4,4.0,,Steelers,Mark Bruener 5 yard pass from Kordell Stewart (Norm Johnson kick),3,20
