,Quarter,Tm,Detail,WAS,CLE
0,2.0,Redskins,Mike Thomas 3 yard pass from Billy Kilmer,6,0
1,3.0,Redskins,Mark Moseley 37 yard field goal,9,0
2,3.0,Browns,Oscar Roan 15 yard pass from Brian Sipe (Don Cockroft kick),9,7
3,4.0,Redskins,Larry Brown 11 yard pass from Billy Kilmer (Mark Moseley kick),16,7
4,4.0,Redskins,Mike Thomas 1 yard rush (Mark Moseley kick),23,7
