,Quarter,Tm,Detail,DAL,WAS
0,2.0,Cowboys,Billy Joe DuPree 33 yard pass from Danny White (Rafael Septien kick),7,0
1,2.0,Redskins,Joe Washington 15 yard pass from Joe Theismann (Mark Moseley kick),7,7
2,2.0,Cowboys,Drew Pearson 42 yard pass from Danny White (Rafael Septien kick),14,7
3,3.0,Cowboys,Rafael Septien 29 yard field goal,17,7
4,3.0,Redskins,Mark Moseley 42 yard field goal,17,10
5,3.0,Cowboys,Rafael Septien 42 yard field goal,20,10
6,4.0,Cowboys,Rafael Septien 23 yard field goal,23,10
7,4.0,Cowboys,Rafael Septien 18 yard field goal,26,10
